caseName,area,peakDynamicPower,runtimeDynamicPower,subthresholdLeakage,gateLeakage,cpuPeakPower
speclibm_10,7.22483,1.95501,0.170429,1.098,0.00726281,3.86492
speclibm_4,4.59384,1.47789,0.0469568,0.696764,0.0036123,2.98366
speclibm_8,7.22483,1.95501,0.170324,1.098,0.00726281,3.75956
speclibm_7,6.38891,2.18571,0.221295,0.846024,0.00480872,3.84194
speclibm_12,5.13381,0.917255,0.0526889,0.793678,0.00471982,2.22593
speclibm_11,7.22483,1.95501,0.170429,1.098,0.00726281,3.86503
speclibm,7.22483,1.95501,0.170429,1.098,0.00726281,3.86567
speclibm_15,11.4319,2.30522,0.260812,1.60905,0.0113189,4.73098
speclibm_6,6.08826,1.96246,0.170565,0.825522,0.0046475,3.59803
speclibm_3,8.8343,2.59246,0.170429,1.2204,0.00831435,4.62657
speclibm_opt,26.8722,17.4431,0.779339,2.38722,0.0150925,27.8819
speclibm_13,11.0402,5.36286,0.389223,1.18338,0.00728232,9.22886
speclibm_14,26.8722,17.4431,0.778768,2.38722,0.0150925,27.2066
speclibm_5,9.87973,2.16638,0.224698,1.38119,0.00969175,4.36266
speclibm_2,7.98819,2.28119,0.170428,1.17653,0.00798406,4.2711
speclibm_9,7.22483,1.95501,0.170638,1.098,0.00726281,3.99078
speclibm_1,9.61665,2.54945,0.170428,1.49924,0.0109133,4.865
