caseName,area,peakDynamicPower,runtimeDynamicPower,subthresholdLeakage,gateLeakage
specmcf_11,7.68591,0.539259,0.0157975,0.0046776,0.000568258
specmcf_13,38.4333,2.39516,0.113161,0.0163995,0.00351474
specmcf_4,7.0038,0.539842,0.0161001,0.00472789,0.000571604
specmcf_10,7.69091,0.53917,0.0157846,0.00465773,0.000566123
specmcf_15,7.0038,0.539842,0.013799,0.00472789,0.000571604
specmcf_9,13.3224,0.660042,0.0223836,0.00910636,0.00110378
specmcf_12,6.37949,0.245143,0.00627786,0.00445064,0.000433207
specmcf_6,7.0038,0.539842,0.0158046,0.00472789,0.000571604
specmcf_8,4.1658,0.435844,0.0101498,0.00278925,0.000397114
specmcf_14,63.5151,7.05878,0.243583,0.0342731,0.0079159
specmcf_1,7.0038,0.539842,0.00142233,0.00472789,0.000571604
specmcf_5,7.0038,0.539842,0.0157569,0.00472789,0.000571604
specmcf_3,7.0038,0.539842,0.0014227,0.00472789,0.000571604
specmcf_opt,11.5873,0.311169,0.00137817,0.00838114,0.000791078
specmcf_2,7.0038,0.539842,0.00142329,0.00472789,0.000571604
specmcf_7,7.0038,0.539842,0.0157932,0.00472789,0.000571604
