caseName,area,peakDynamicPower,runtimeDynamicPower,subthresholdLeakage,gateLeakage,cpuPeakPower
spechmmer_7,6.38891,2.18571,0.437238,0.846024,0.00480872,3.84194
spechmmer_4,4.59384,1.47789,0.113871,0.696764,0.0036123,2.98366
spechmmer_opt,14.1275,6.52007,1.1138,1.41425,0.00845101,10.6181
spechmmer_8,7.22483,1.95501,0.360286,1.098,0.00726281,3.75956
spechmmer_3,8.8343,2.59246,0.360362,1.2204,0.00831435,4.62657
spechmmer_14,26.8722,17.4431,1.09838,2.38722,0.0150925,27.2066
spechmmer_12,5.13381,0.917255,0.188141,0.793678,0.00471982,2.22593
spechmmer_13,11.0402,5.36286,0.586445,1.18338,0.00728232,9.22886
spechmmer_10,7.22483,1.95501,0.360286,1.098,0.00726281,3.86492
spechmmer_11,7.22483,1.95501,0.360286,1.098,0.00726281,3.86503
spechmmer_2,7.98819,2.28119,0.360345,1.17653,0.00798406,4.2711
spechmmer_9,7.22483,1.95501,0.360286,1.098,0.00726281,3.99078
spechmmer_1,9.61665,2.54945,0.360372,1.49924,0.0109133,4.865
spechmmer_15,11.4319,2.30522,0.513413,1.60905,0.0113189,4.73098
spechmmer_6,6.08826,1.96246,0.355636,0.825522,0.0046475,3.59803
spechmmer_5,9.87973,2.16638,0.467636,1.38119,0.00969175,4.36266
