caseName,area,peakDynamicPower,runtimeDynamicPower,subthresholdLeakage,gateLeakage
spechmmer_7,7.0038,0.539842,0.00226492,0.00472789,0.000571604
spechmmer_4,7.0038,0.539842,0.00304374,0.00472789,0.000571604
spechmmer_opt,38.4333,2.39516,0.000568456,0.0163995,0.00351474
spechmmer_8,4.1658,0.435844,0.00171866,0.00278925,0.000397114
spechmmer_3,7.0038,0.539842,0.00226098,0.00472789,0.000571604
spechmmer_14,63.5151,7.05878,0.0151895,0.0342731,0.0079159
spechmmer_12,6.37949,0.245143,0.00225031,0.00445064,0.000433207
spechmmer_13,38.4333,2.39516,0.0062692,0.0163995,0.00351474
spechmmer_10,7.69091,0.53917,0.00229367,0.00465773,0.000566123
spechmmer_11,7.68591,0.539259,0.00229623,0.0046776,0.000568258
spechmmer_2,7.0038,0.539842,0.00227664,0.00472789,0.000571604
spechmmer_9,13.3224,0.660042,0.00299142,0.00910636,0.00110378
spechmmer_1,7.0038,0.539842,0.00225585,0.00472789,0.000571604
spechmmer_15,7.0038,0.539842,9.14998e-05,0.00472789,0.000571604
spechmmer_6,7.0038,0.539842,0.00223953,0.00472789,0.000571604
spechmmer_5,7.0038,0.539842,0.000842869,0.00472789,0.000571604
